           113030000, fe, 1, fe, 85
           113050000, 00, 0, a2, 86
           113110000, a2, 1, a2, 86
           113130000, 00, 0, 05, 87
           113190000, 05, 1, 05, 87
           113210000, 00, 0, 5b, 88
           113250000, 00, 0, 7b, 88
           113270000, 7b, 1, 7b, 88
           113290000, 00, 0, 79, 89
           113350000, 79, 1, 79, 89
           113370000, 00, 0, e3, 8a
           113430000, e3, 1, e3, 8a
           113450000, 00, 0, 40, 8b
           113510000, 40, 1, 40, 8b
           113530000, 00, 0, 5b, 8c
           113590000, 5b, 1, 5b, 8c
           113610000, 00, 0, 92, 8d
           113670000, 92, 1, 92, 8d
           113690000, 00, 0, d2, 8e
           113750000, d2, 1, d2, 8e
           113770000, 00, 0, 6d, 8f
           113830000, 6d, 1, 6d, 8f
           113850000, 00, 0, 7b, 90
           113890000, 00, 0, 0f, 90
           113910000, 0f, 1, 0f, 90
           113930000, 00, 0, 65, 91
           113990000, 65, 1, 65, 91
           114010000, 00, 0, 2f, 92
           114070000, 2f, 1, 2f, 92
           114090000, 00, 0, 1d, 93
           114150000, 1d, 1, 1d, 93
           114170000, 00, 0, e9, 94
           114230000, e9, 1, e9, 94
           114250000, 00, 0, 97, 95
           114310000, 97, 1, 97, 95
           114330000, 00, 0, cc, 96
           114390000, cc, 1, cc, 96
           114410000, 00, 0, 61, 97
           114470000, 61, 1, 61, 97
           114490000, 00, 0, 0f, 98
           114530000, 00, 0, 70, 98
           114550000, 70, 1, 70, 98
           114570000, 00, 0, f9, 99
           114630000, f9, 1, f9, 99
           114650000, 00, 0, 99, 9a
           114710000, 99, 1, 99, 9a
           114730000, 00, 0, f7, 9b
           114790000, f7, 1, f7, 9b
           114810000, 00, 0, 89, 9c
           114870000, 89, 1, 89, 9c
           114890000, 00, 0, b8, 9d
           114950000, b8, 1, b8, 9d
           114970000, 00, 0, a4, 9e
           115030000, a4, 1, a4, 9e
           115050000, 00, 0, 88, 9f
           115110000, 88, 1, 88, 9f
           115130000, 00, 0, 70, a0
           115170000, 00, 0, 64, a0
           115190000, 64, 1, 64, a0
           115210000, 00, 0, 19, a1
           115270000, 19, 1, 19, a1
           115290000, 00, 0, d5, a2
           115350000, d5, 1, d5, a2
           115370000, 00, 0, fa, a3
           115430000, fa, 1, fa, a3
           115450000, 00, 0, 64, a4
           115510000, 64, 1, 64, a4
           115530000, 00, 0, 6b, a5
           115590000, 6b, 1, 6b, a5
           115610000, 00, 0, 63, a6
           115670000, 63, 1, 63, a6
           115690000, 00, 0, ac, a7
           115750000, ac, 1, ac, a7
           115770000, 00, 0, 64, a8
           115810000, 00, 0, f1, a8
           115830000, f1, 1, f1, a8
           115850000, 00, 0, 5c, a9
           115910000, 5c, 1, 5c, a9
           115930000, 00, 0, 4d, aa
           115990000, 4d, 1, 4d, aa
           116010000, 00, 0, 23, ab
           116070000, 23, 1, 23, ab
           116090000, 00, 0, d5, ac
           116150000, d5, 1, d5, ac
           116170000, 00, 0, e3, ad
           116230000, e3, 1, e3, ad
           116250000, 00, 0, 5b, ae
           116310000, 5b, 1, 5b, ae
           116330000, 00, 0, 71, af
